tic,conm,fyear,sale,cogs,ni,at,sich
PNW,PINNACLE WEST CAPITAL CORP,2018,3691.247,2335.206,511.047,17664.202,4911
SO1,ALABAMA POWER CO,2018,6032.0,3791.0,945.0,26730.0,4911
HES,HESS CORP,2018,6323.0,3057.0,-282.0,21433.0,1311
AEP,AMERICAN ELECTRIC POWER CO,2018,16195.7,11170.4,1923.8,68802.8,4911
APA,APA CORP,2018,7331.0,2390.0,40.0,21582.0,1311
AEP1,APPALACHIAN POWER,2018,2967.5,2055.6,367.8,12290.5,4911
TREC,TRECORA RESOURCES,2018,287.932,246.496,-2.332,329.968,2911
PNW1,ARIZONA PUBLIC SERVICE CO,2018,3688.342,2277.88,570.265,17565.323,4911
ETR1,ENTERGY ARKANSAS,2018,2060.643,1662.345,252.707,10401.596,4911
BRN,BARNWELL INDUSTRIES,2018,9.206,5.986,-1.77,31.378,1311
BP,BP PLC,2018,298756.0,253705.0,9383.0,282176.0,2911
DUK8,PROGRESS ENERGY INC,2018,10728.0,7195.0,1027.0,52664.0,4911
CVX,CHEVRON CORP,2018,158902.0,119989.0,14824.0,253863.0,2911
NU1,CONNECTICUT LIGHT & POWER CO,2018,3096.174,2181.78,377.717,11409.719,4911
CLR,CONTINENTAL RESOURCES INC,2018,4709.586,974.826,988.317,15297.947,1311
AES5,DPL INC,2018,775.9,567.3,70.1,1883.1,4911
D,DOMINION ENERGY INC,2018,13581.0,7354.0,2447.0,77914.0,4911
EE.2,EL PASO ELECTRIC CO,2018,903.603,634.992,84.315,3628.502,4911
XOM,EXXON MOBIL CORP,2018,279332.0,225517.0,20840.0,346196.0,2911
NEE,NEXTERA ENERGY INC,2018,16727.0,8501.0,6638.0,103702.0,4911
FPL1,FLORIDA POWER & LIGHT CO,2018,11862.0,6072.0,2171.0,53484.0,4911
DUK9,DUKE ENERGY FLORIDA INC,2018,5021.0,3534.0,554.0,18801.0,4911
SO2,GEORGIA POWER,2018,8420.0,6208.0,793.0,40365.0,4911
HE1,HAWAIIAN ELECTRIC CO,2018,2546.525,2101.238,145.648,5967.503,4911
HE,HAWAIIAN ELECTRIC INDS,2018,2860.849,2271.864,203.664,13104.051,4911
HMENF,HEMISPHERE ENERGY CORP,2018,15.31,7.453,-4.854,59.197,1311
DINO,HF SINCLAIR CORP,2018,17714.666,15348.199,1097.96,10994.601,2911
4300A,HYDRO QUEBEC,2018,10328.06,4236.608,2339.258,56421.413,4911
IDA,IDACORP INC,2018,1370.752,908.64,226.801,6382.754,4911
IMO,IMPERIAL OIL LTD,2018,33297.0,27662.0,2314.0,41456.0,2911
AEP2,INDIANA MICHIGAN POWER CO,2018,2370.7,1700.4,261.3,10222.6,4911
AES4,IPALCO ENTERPRISES INC,2018,1450.505,981.815,134.025,4862.053,4911
ISRL.1,ISRAMCO INC,2018,79.36,39.048,17.934,111.614,1311
GPU3,JERSEY CENTRAL POWER & LIGHT,2018,1864.0,1519.0,170.0,7612.0,4911
PNRG,PRIMEENERGY RESOURCES CORP,2018,117.902,49.471,14.529,255.052,1311
AEP4,KENTUCKY POWER,2018,642.071,443.273,63.146,2412.431,4911
STSC,START SCIENTIFIC INC,2018,0.0,0.0,-0.017,0.0,1311
RRC,RANGE RESOURCES CORP,2018,3281.929,1822.157,-1746.481,9708.154,1311
ETR2,ENTERGY LOUISIANA LLC,2018,4296.32,3074.634,675.614,19651.815,4911
MRO,MARATHON OIL CORP,2018,5888.0,1791.0,1096.0,21321.0,1311
GPU1,METROPOLITAN EDISON,2018,847.0,555.0,168.0,3118.0,4911
MXC,MEXCO ENERGY CORP,2018,2.687,0.937,-0.013,9.45,1311
ETR6,SYSTEM ENERGY RESOURCES INC,2018,456.707,281.164,94.109,3848.814,4911
ETR,ENTERGY CORP,2018,11009.452,8249.816,862.555,48275.066,4911
EXCE,EXCO RESOURCES INC,2018,394.026,150.914,-182.697,1032.693,1311
ETR4,ENTERGY MISSISSSIPPI,2018,1335.112,1136.089,126.078,3946.804,4911
